9986	9031	9606	9544	10116	10090
ENSOCUG00000000003	ENSGALG00000012985	ENSG00000010379	ENSMMUG00000061421	ENSRNOG00000012876	ENSMUSG00000030108
ENSOCUG00000000005	ENSGALG00000000636	ENSG00000198625	ENSMMUG00000011236	ENSRNOG00000009696	ENSMUSG00000054387
ENSOCUG00000000006	ENSGALG00000046727	ENSG00000151689	ENSMMUG00000007288	ENSRNOG00000012375	ENSMUSG00000026102
ENSOCUG00000000007	ENSGALG00000028821	ENSG00000122694	ENSMMUG00000010213	ENSRNOG00000014838	ENSMUSG00000028480
ENSOCUG00000000009	ENSGALG00000015326	ENSG00000122705	ENSMMUG00000006132	ENSRNOG00000014635	ENSMUSG00000028478
ENSOCUG00000000010	ENSGALG00000015331	ENSG00000159921	ENSMMUG00000006135	ENSRNOG00000014365	ENSMUSG00000028479
ENSOCUG00000000013	ENSGALG00000008368	ENSG00000070950	ENSMMUG00000020013	ENSRNOG00000005907	ENSMUSG00000030254
ENSOCUG00000000015	ENSGALG00000046826	ENSG00000104812	ENSMMUG00000003911	ENSRNOG00000020812	ENSMUSG00000003865
ENSOCUG00000000020	ENSGALG00000014811	ENSG00000101596	ENSMMUG00000005461	ENSRNOG00000014319	ENSMUSG00000024054
ENSOCUG00000000021	ENSGALG00000012929	ENSG00000087470	ENSMMUG00000013655	ENSRNOG00000001813	ENSMUSG00000022789
ENSOCUG00000000022	ENSGALG00000012919	ENSG00000139131	ENSMMUG00000013654	ENSRNOG00000025252	ENSMUSG00000022792
ENSOCUG00000000023	ENSGALG00000012913	ENSG00000057294	ENSMMUG00000000595	ENSRNOG00000001825	ENSMUSG00000041957
ENSOCUG00000000024	ENSGALG00000013494	ENSG00000166451	ENSMMUG00000013082	ENSRNOG00000011296	ENSMUSG00000031756
ENSOCUG00000000025	ENSGALG00000006471	ENSG00000174640	ENSMMUG00000012605	ENSRNOG00000009005	ENSMUSG00000032548
ENSOCUG00000000028	ENSGALG00000051505	ENSG00000165655	ENSMMUG00000006102	ENSRNOG00000014237	ENSMUSG00000039081
ENSOCUG00000000031	ENSGALG00000016582	ENSG00000168078	ENSMMUG00000016019	ENSRNOG00000015308	ENSMUSG00000022033
ENSOCUG00000000032	ENSGALG00000045940	ENSG00000189233	ENSMMUG00000001040	ENSRNOG00000018238	ENSMUSG00000061356
ENSOCUG00000000034	ENSGALG00000016624	ENSG00000134014	ENSMMUG00000005067	ENSRNOG00000014291	ENSMUSG00000022031
ENSOCUG00000000038	ENSGALG00000002878	ENSG00000164463	ENSMMUG00000005909	ENSRNOG00000020769	ENSMUSG00000048249
ENSOCUG00000000040	ENSGALG00000002882	ENSG00000113734	ENSMMUG00000014607	ENSRNOG00000020753	ENSMUSG00000024191
ENSOCUG00000000041	ENSGALG00000002886	ENSG00000183072	ENSMMUG00000064883	ENSRNOG00000020747	ENSMUSG00000015579
ENSOCUG00000000049	ENSGALG00000007419	ENSG00000127241	ENSMMUG00000013004	ENSRNOG00000001827	ENSMUSG00000022887
ENSOCUG00000000051	ENSGALG00000002227	ENSG00000172869	ENSMMUG00000018640	ENSRNOG00000024671	ENSMUSG00000037416
ENSOCUG00000000057	ENSGALG00000011330	ENSG00000197102	ENSMMUG00000005780	ENSRNOG00000006178	ENSMUSG00000018707
ENSOCUG00000000060	ENSGALG00000012350	ENSG00000196116	ENSMMUG00000012275	ENSRNOG00000055779	ENSMUSG00000035517
ENSOCUG00000000061	ENSGALG00000013607	ENSG00000112029	ENSMMUG00000019076	ENSRNOG00000024077	ENSMUSG00000019773
ENSOCUG00000000068	ENSGALG00000023036	ENSG00000070601	ENSMMUG00000005902	ENSRNOG00000012546	ENSMUSG00000035615
ENSOCUG00000000069	ENSGALG00000002709	ENSG00000197879	ENSMMUG00000002371	ENSRNOG00000004072	ENSMUSG00000017774
ENSOCUG00000000072	ENSGALG00000030821	ENSG00000054803	ENSMMUG00000006005	ENSRNOG00000004372	ENSMUSG00000067578
ENSOCUG00000000073	ENSGALG00000002739	ENSG00000132376	ENSMMUG00000002373	ENSRNOG00000056954	ENSMUSG00000006127
ENSOCUG00000000075	ENSGALG00000023806	ENSG00000174238	ENSMMUG00000040268	ENSRNOG00000003846	ENSMUSG00000017781
ENSOCUG00000000076	ENSGALG00000002783	ENSG00000167703	ENSMMUG00000017561	ENSRNOG00000003835	ENSMUSG00000038178
ENSOCUG00000000080	ENSGALG00000003349	ENSG00000169499	ENSMMUG00000003591	ENSRNOG00000066109	ENSMUSG00000031557
ENSOCUG00000000081	ENSGALG00000002943	ENSG00000174231	ENSMMUG00000004820	ENSRNOG00000003495	ENSMUSG00000020850
ENSOCUG00000000085	ENSGALG00000003356	ENSG00000169490	ENSMMUG00000056131	ENSRNOG00000016559	ENSMUSG00000031556
ENSOCUG00000000087	ENSGALG00000021592	ENSG00000185561	ENSMMUG00000062386	ENSRNOG00000037275	ENSMUSG00000038217
ENSOCUG00000000090	ENSGALG00000026822	ENSG00000167716	ENSMMUG00000002380	ENSRNOG00000003243	ENSMUSG00000045374
ENSOCUG00000000091	ENSGALG00000002987	ENSG00000167711	ENSMMUG00000002382	ENSRNOG00000003233	ENSMUSG00000038224
ENSOCUG00000000092	ENSGALG00000003015	ENSG00000132386	ENSMMUG00000022194	ENSRNOG00000003172	ENSMUSG00000000753
ENSOCUG00000000093	ENSGALG00000003031	ENSG00000186532	ENSMMUG00000022195	ENSRNOG00000026783	ENSMUSG00000018809
ENSOCUG00000000095	ENSGALG00000000668	ENSG00000117222	ENSMMUG00000018803	ENSRNOG00000021289	ENSMUSG00000026439
ENSOCUG00000000097	ENSGALG00000041123	ENSG00000133059	ENSMMUG00000010478	ENSRNOG00000021298	ENSMUSG00000042046
ENSOCUG00000000098	ENSGALG00000015040	ENSG00000112394	ENSMMUG00000021534	ENSRNOG00000000588	ENSMUSG00000019838
ENSOCUG00000000102	ENSGALG00000031650	ENSG00000122507	ENSMMUG00000002886	ENSRNOG00000015189	ENSMUSG00000035919
ENSOCUG00000000104	ENSGALG00000016058	ENSG00000157554	ENSMMUG00000010296	ENSRNOG00000001652	ENSMUSG00000040732
ENSOCUG00000000107	ENSGALG00000013794	ENSG00000154889	ENSMMUG00000064267	ENSRNOG00000018648	ENSMUSG00000062526
ENSOCUG00000000108	ENSGALG00000027757	ENSG00000122644	ENSMMUG00000010846	ENSRNOG00000069300	ENSMUSG00000047446
ENSOCUG00000000109	ENSGALG00000041750	ENSG00000163638	ENSMMUG00000000265	ENSRNOG00000023257	ENSMUSG00000030022
ENSOCUG00000000119	ENSGALG00000007478	ENSG00000163959	ENSMMUG00000022674	ENSRNOG00000001765	ENSMUSG00000035699
ENSOCUG00000000120	ENSGALG00000005223	ENSG00000078549	ENSMMUG00000005299	ENSRNOG00000012098	ENSMUSG00000029778
ENSOCUG00000000121	ENSGALG00000012230	ENSG00000165501	ENSMMUG00000037526	ENSRNOG00000004216	ENSMUSG00000034883
