bgeeGeneId	geneId	geneName	geneDescription	speciesId	geneBioTypeId	ensemblGene	geneMappedToGeneIdCount
215549	ENSLOCG00000000001	b4galt3	beta-1,4-galactosyltransferase 3-like [Source:NCBI gene;Acc:102696232]	7918	6	1	1
215550	ENSLOCG00000000002		Fibronectin type-III domain-containing protein	7918	6	1	1
215551	ENSLOCG00000000003	slc25a22a	Solute carrier family 25 member 22a	7918	6	1	1
215552	ENSLOCG00000000004	gatd1	glutamine amidotransferase like class 1 domain containing 1 [Source:NCBI gene;Acc:102693127]	7918	6	1	1
215553	ENSLOCG00000000005	cnot3b	CCR4-NOT transcription complex, subunit 3b [Source:ZFIN;Acc:ZDB-GENE-030131-5838]	7918	6	1	1
215554	ENSLOCG00000000006	taldo1	transaldolase 1 [Source:ZFIN;Acc:ZDB-GENE-030131-3277]	7918	6	1	1
215555	ENSLOCG00000000007	prpf31	pre-mRNA processing factor 31 [Source:NCBI gene;Acc:102685292]	7918	6	1	1
215556	ENSLOCG00000000008	tspan4a	tetraspanin 4a [Source:ZFIN;Acc:ZDB-GENE-040718-38]	7918	6	1	1
215557	ENSLOCG00000000009			7918	6	1	1
215558	ENSLOCG00000000010	chid1	chitinase domain containing 1 [Source:NCBI gene;Acc:102693927]	7918	6	1	1
215559	ENSLOCG00000000011	zgc:158689	zgc:158689 [Source:ZFIN;Acc:ZDB-GENE-070112-1902]	7918	6	1	1
215560	ENSLOCG00000000012	ddb1	damage-specific DNA binding protein 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1272]	7918	6	1	1
215561	ENSLOCG00000000013		Myosin_tail_1 domain-containing protein	7918	6	1	1
215562	ENSLOCG00000000014		Myosin_tail_1 domain-containing protein	7918	6	1	1
215563	ENSLOCG00000000015		Myosin motor domain-containing protein	7918	6	1	1
215564	ENSLOCG00000000016	si:ch211-120k19.1	mpv17-like protein [Source:NCBI gene;Acc:102686917]	7918	6	1	1
215565	ENSLOCG00000000017	rpl18	ribosomal protein L18 [Source:NCBI gene;Acc:102687121]	7918	6	1	1
215566	ENSLOCG00000000018			7918	6	1	1
215567	ENSLOCG00000000019			7918	6	1	1
215568	ENSLOCG00000000020		zinc finger protein 3-like [Source:NCBI gene;Acc:107076148]	7918	6	1	1
215569	ENSLOCG00000000021	wnt9b	protein Wnt-9b-like [Source:NCBI gene;Acc:102691054]	7918	6	1	1
215570	ENSLOCG00000000022	slc16a12b	solute carrier family 16 member 12 [Source:NCBI gene;Acc:102688889]	7918	6	1	1
215571	ENSLOCG00000000023	pank1b	pantothenate kinase 1 [Source:NCBI gene;Acc:102688138]	7918	6	1	1
215572	ENSLOCG00000000024	zgc:65997	C-factor-like [Source:NCBI gene;Acc:102688490]	7918	6	1	1
215573	ENSLOCG00000000025	htr7a	5-hydroxytryptamine receptor 7 [Source:NCBI gene;Acc:102689092]	7918	6	1	1
215574	ENSLOCG00000000026	kif20bb	kinesin family member 20B [Source:NCBI gene;Acc:102689298]	7918	6	1	1
215575	ENSLOCG00000000027		Peptidase S1 domain-containing protein	7918	6	1	1
215576	ENSLOCG00000000028		Peptidase S1 domain-containing protein	7918	6	1	1
215577	ENSLOCG00000000029		Sulfate_transp domain-containing protein	7918	6	1	1
215578	ENSLOCG00000000030		Peptidase S1 domain-containing protein	7918	6	1	1
215579	ENSLOCG00000000031	rpp30	ribonuclease P/MRP subunit p30 [Source:NCBI gene;Acc:102689504]	7918	6	1	1
215580	ENSLOCG00000000032		GH-releasing peptide receptor	7918	6	1	1
215581	ENSLOCG00000000033		Peptidase S1 domain-containing protein	7918	6	1	1
215582	ENSLOCG00000000034			7918	6	1	1
215583	ENSLOCG00000000035	ankrd1a	ankyrin repeat domain 1 [Source:NCBI gene;Acc:102689706]	7918	6	1	1
215584	ENSLOCG00000000036		Peptidase S1 domain-containing protein	7918	6	1	1
215585	ENSLOCG00000000037		Myosin motor domain-containing protein	7918	6	1	1
215586	ENSLOCG00000000038		Peptidase S1 domain-containing protein	7918	6	1	1
215587	ENSLOCG00000000039		Peptidase S1 domain-containing protein	7918	6	1	1
215588	ENSLOCG00000000040	pcgf5a	polycomb group ring finger 5 [Source:NCBI gene;Acc:102688690]	7918	6	1	1
215589	ENSLOCG00000000041			7918	6	1	1
215590	ENSLOCG00000000042			7918	6	1	1
215591	ENSLOCG00000000043	hectd2	HECT domain E3 ubiquitin protein ligase 2 [Source:NCBI gene;Acc:102689908]	7918	6	1	1
215592	ENSLOCG00000000044		Peptidase S1 domain-containing protein	7918	6	1	1
215593	ENSLOCG00000000045	NDUFV1	NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial-like [Source:NCBI gene;Acc:102689030]	7918	6	1	1
215594	ENSLOCG00000000046	mapk7	mitogen-activated protein kinase 7 [Source:ZFIN;Acc:ZDB-GENE-050320-10]	7918	6	1	1
215595	ENSLOCG00000000047		VLIG-type G domain-containing protein	7918	6	1	1
215596	ENSLOCG00000000048	vkorc1	vitamin K epoxide reductase complex subunit 1-like protein 1 [Source:NCBI gene;Acc:102696686]	7918	6	1	1
215597	ENSLOCG00000000049		Integrin_alpha2 domain-containing protein	7918	6	1	1
215598	ENSLOCG00000000050	fus	FUS RNA binding protein [Source:ZFIN;Acc:ZDB-GENE-040426-1010]	7918	6	1	1
215599	ENSLOCG00000000051		calmodulin-binding transcription activator 1-like [Source:NCBI gene;Acc:102698595]	7918	6	1	1
215600	ENSLOCG00000000052		vasopressin V2 receptor-like [Source:NCBI gene;Acc:102698801]	7918	6	1	1
215601	ENSLOCG00000000053		serine protease 33-like [Source:NCBI gene;Acc:102697077]	7918	6	1	1
215602	ENSLOCG00000000054			7918	6	1	1
215603	ENSLOCG00000000055			7918	6	1	1
215604	ENSLOCG00000000056			7918	6	1	1
215605	ENSLOCG00000000057			7918	6	1	1
215606	ENSLOCG00000000058		SET domain-containing protein	7918	6	1	1
215607	ENSLOCG00000000059		butyrophilin-like protein 1 [Source:NCBI gene;Acc:107076084]	7918	6	1	1
