9606	9598	9597	9544	9258	9031	13616	10090
ENSG00000000003	ENSPTRG00000022087	ENSPPAG00000038316	ENSMMUG00000008209	ENSOANG00000004206	ENSGALG00000006808	ENSMODG00000011865	ENSMUSG00000067377
ENSG00000000005	ENSPTRG00000022086	ENSPPAG00000035804	ENSMMUG00000008212	ENSOANG00000004204	ENSGALG00000006821	ENSMODG00000008987	ENSMUSG00000031250
ENSG00000000457	ENSPTRG00000001665	ENSPPAG00000039281	ENSMMUG00000016583	ENSOANG00000000881	ENSGALG00000036264	ENSMODG00000003449	ENSMUSG00000026584
ENSG00000000460	ENSPTRG00000001664	ENSPPAG00000031085	ENSMMUG00000016582	ENSOANG00000000879	ENSGALG00000032743	ENSMODG00000003433	ENSMUSG00000041406
ENSG00000001036	ENSPTRG00000018671	ENSPPAG00000037381	ENSMMUG00000005366	ENSOANG00000007663	ENSGALG00000013773	ENSMODG00000017260	ENSMUSG00000019810
ENSG00000001084	ENSPTRG00000018290	ENSPPAG00000035266	ENSMMUG00000008684	ENSOANG00000002861	ENSGALG00000016313	ENSMODG00000018800	ENSMUSG00000032350
ENSG00000001167	ENSPTRG00000018146	ENSPPAG00000041714	ENSMMUG00000021173	ENSOANG00000011990	ENSGALG00000003247	ENSMODG00000013084	ENSMUSG00000023994
ENSG00000001461	ENSPTRG00000000346	ENSPPAG00000034282	ENSMMUG00000004466	ENSOANG00000002205	ENSGALG00000004268	ENSMODG00000013086	ENSMUSG00000028803
ENSG00000001561	ENSPTRG00000018231	ENSPPAG00000032184	ENSMMUG00000029627	ENSOANG00000008268	ENSGALG00000016708	ENSMODG00000018909	ENSMUSG00000023961
ENSG00000001617	ENSPTRG00000014948	ENSPPAG00000041494	ENSMMUG00000010337	ENSOANG00000004411	ENSGALG00000029621	ENSMODG00000012283	ENSMUSG00000034684
ENSG00000001626	ENSPTRG00000019619	ENSPPAG00000040492	ENSMMUG00000011269	ENSOANG00000008767	ENSGALG00000032986	ENSMODG00000015771	ENSMUSG00000041301
ENSG00000002745	ENSPTRG00000019627	ENSPPAG00000028372	ENSMMUG00000002439	ENSOANG00000005655	ENSGALG00000028069	ENSMODG00000015480	ENSMUSG00000029671
ENSG00000002746	ENSPTRG00000019123	ENSPPAG00000030847	ENSMMUG00000019015	ENSOANG00000010691	ENSGALG00000037193	ENSMODG00000002297	ENSMUSG00000021301
ENSG00000002822	ENSPTRG00000018855	ENSPPAG00000043036	ENSMMUG00000011659	ENSOANG00000004310	ENSGALG00000004224	ENSMODG00000017321	ENSMUSG00000029554
ENSG00000003402	ENSPTRG00000012798	ENSPPAG00000027058	ENSMMUG00000012310	ENSOANG00000004490	ENSGALG00000008240	ENSMODG00000015097	ENSMUSG00000026031
ENSG00000003436	ENSPTRG00000012723	ENSPPAG00000031749	ENSMMUG00000009448	ENSOANG00000005244	ENSGALG00000002594	ENSMODG00000010692	ENSMUSG00000027082
ENSG00000003756	ENSPTRG00000014946	ENSPPAG00000043010	ENSMMUG00000004921	ENSOANG00000006557	ENSGALG00000039288	ENSMODG00000012301	ENSMUSG00000032580
ENSG00000003989	ENSPTRG00000020021	ENSPPAG00000016430	ENSMMUG00000022303	ENSOANG00000005840	ENSGALG00000013627	ENSMODG00000019050	ENSMUSG00000031596
ENSG00000004059	ENSPTRG00000019651	ENSPPAG00000037755	ENSMMUG00000015423	ENSOANG00000000821	ENSGALG00000043476	ENSMODG00000015229	ENSMUSG00000020440
ENSG00000004142	ENSPTRG00000051371	ENSPPAG00000032933	ENSMMUG00000019146	ENSOANG00000015619	ENSGALG00000003211	ENSMODG00000019237	ENSMUSG00000001100
ENSG00000004455	ENSPTRG00000000499	ENSPPAG00000038914	ENSMMUG00000006284	ENSOANG00000005875	ENSGALG00000003597	ENSMODG00000017363	ENSMUSG00000028792
ENSG00000004487	ENSPTRG00000000321	ENSPPAG00000042062	ENSMMUG00000009773	ENSOANG00000004000	ENSGALG00000033469	ENSMODG00000016138	ENSMUSG00000036940
ENSG00000004700	ENSPTRG00000004758	ENSPPAG00000030306	ENSMMUG00000010857	ENSOANG00000002400	ENSGALG00000013174	ENSMODG00000017805	ENSMUSG00000030243
ENSG00000004799	ENSPTRG00000019421	ENSPPAG00000027188	ENSMMUG00000021389	ENSOANG00000014566	ENSGALG00000009700	ENSMODG00000016516	ENSMUSG00000019577
ENSG00000004838	ENSPTRG00000014960	ENSPPAG00000031552	ENSMMUG00000007006	ENSOANG00000014319	ENSGALG00000035883	ENSMODG00000012106	ENSMUSG00000010044
ENSG00000004866	ENSPTRG00000019616	ENSPPAG00000028019	ENSMMUG00000021722	ENSOANG00000008765	ENSGALG00000037206	ENSMODG00000015806	ENSMUSG00000029534
ENSG00000004961	ENSPTRG00000021657	ENSPPAG00000040960	ENSMMUG00000013993	ENSOANG00000012100	ENSGALG00000005571	ENSMODG00000017375	ENSMUSG00000031352
ENSG00000005007	ENSPTRG00000010721	ENSPPAG00000043884	ENSMMUG00000023286	ENSOANG00000004568	ENSGALG00000003220	ENSMODG00000003689	ENSMUSG00000058301
ENSG00000005020	ENSPTRG00000019007	ENSPPAG00000030605	ENSMMUG00000018544	ENSOANG00000009162	ENSGALG00000030081	ENSMODG00000000521	ENSMUSG00000059182
ENSG00000005059	ENSPTRG00000016360	ENSPPAG00000029717	ENSMMUG00000008171	ENSOANG00000003662	ENSGALG00000012196	ENSMODG00000005959	ENSMUSG00000027994
ENSG00000005108	ENSPTRG00000018936	ENSPPAG00000028160	ENSMMUG00000012694	ENSOANG00000006331	ENSGALG00000010718	ENSMODG00000014167	ENSMUSG00000032625
ENSG00000005187	ENSPTRG00000007849	ENSPPAG00000037343	ENSMMUG00000016745	ENSOANG00000014293	ENSGALG00000002200	ENSMODG00000007016	ENSMUSG00000030935
ENSG00000005189	ENSPTRG00000007851	ENSPPAG00000035005	ENSMMUG00000016748	ENSOANG00000014291	ENSGALG00000002239	ENSMODG00000007059	ENSMUSG00000030924
ENSG00000005206	ENSPTRG00000010234	ENSPPAG00000037490	ENSMMUG00000000453	ENSOANG00000009197	ENSGALG00000000430	ENSMODG00000004756	ENSMUSG00000035206
ENSG00000005249	ENSPTRG00000019574	ENSPPAG00000027523	ENSMMUG00000015404	ENSOANG00000003166	ENSGALG00000008060	ENSMODG00000016378	ENSMUSG00000002997
ENSG00000005302	ENSPTRG00000021662	ENSPPAG00000039607	ENSMMUG00000002689	ENSOANG00000002623	ENSGALG00000041433	ENSMODG00000017350	ENSMUSG00000031358
ENSG00000005339	ENSPTRG00000007710	ENSPPAG00000038134	ENSMMUG00000002286	ENSOANG00000005845	ENSGALG00000007762	ENSMODG00000016396	ENSMUSG00000022521
ENSG00000005379	ENSPTRG00000009450	ENSPPAG00000020649	ENSMMUG00000018087	ENSOANG00000004747	ENSGALG00000042533	ENSMODG00000014734	ENSMUSG00000034156
ENSG00000005469	ENSPTRG00000019367	ENSPPAG00000028298	ENSMMUG00000010787	ENSOANG00000004424	ENSGALG00000008813	ENSMODG00000010129	ENSMUSG00000003623
ENSG00000005700	ENSPTRG00000018375	ENSPPAG00000024961	ENSMMUG00000010749	ENSOANG00000001284	ENSGALG00000015864	ENSMODG00000018400	ENSMUSG00000035941
ENSG00000005812	ENSPTRG00000022568	ENSPPAG00000027851	ENSMMUG00000021458	ENSOANG00000012185	ENSGALG00000048716	ENSMODG00000001157	ENSMUSG00000022124
ENSG00000005889	ENSPTRG00000021747	ENSPPAG00000029493	ENSMMUG00000009801	ENSOANG00000011502	ENSGALG00000016327	ENSMODG00000007512	ENSMUSG00000079509
ENSG00000005893	ENSPTRG00000048329	ENSPPAG00000029091	ENSMMUG00000001484	ENSOANG00000002580	ENSGALG00000008572	ENSMODG00000010311	ENSMUSG00000016534
ENSG00000006007	ENSPTRG00000007833	ENSPPAG00000031160	ENSMMUG00000013331	ENSOANG00000003218	ENSGALG00000006916	ENSMODG00000006250	ENSMUSG00000033917
ENSG00000006116	ENSPTRG00000007896	ENSPPAG00000037451	ENSMMUG00000013560	ENSOANG00000015224	ENSGALG00000038087	ENSMODG00000016315	ENSMUSG00000066189
ENSG00000006125	ENSPTRG00000009021	ENSPPAG00000031208	ENSMMUG00000006048	ENSOANG00000006939	ENSGALG00000042125	ENSMODG00000019128	ENSMUSG00000035152
ENSG00000006283	ENSPTRG00000009405	ENSPPAG00000027970	ENSMMUG00000017256	ENSOANG00000012911	ENSGALG00000007623	ENSMODG00000020909	ENSMUSG00000020866
ENSG00000006451	ENSPTRG00000019108	ENSPPAG00000003692	ENSMMUG00000016059	ENSOANG00000009445	ENSGALG00000031893	ENSMODG00000012643	ENSMUSG00000008859
ENSG00000006459	ENSPTRG00000019762	ENSPPAG00000036374	ENSMMUG00000008126	ENSOANG00000003792	ENSGALG00000035108	ENSMODG00000013709	ENSMUSG00000042599
ENSG00000006576	ENSPTRG00000019340	ENSPPAG00000029964	ENSMMUG00000009008	ENSOANG00000015067	ENSGALG00000008335	ENSMODG00000017151	ENSMUSG00000039987
ENSG00000006625	ENSPTRG00000019041	ENSPPAG00000031715	ENSMMUG00000012550	ENSOANG00000010828	ENSGALG00000030552	ENSMODG00000015273	ENSMUSG00000002797
ENSG00000006638	ENSPTRG00000050832	ENSPPAG00000033099	ENSMMUG00000011403	ENSOANG00000013517	ENSGALG00000037888	ENSMODG00000006844	ENSMUSG00000034881
ENSG00000006715	ENSPTRG00000019104	ENSPPAG00000040109	ENSMMUG00000010042	ENSOANG00000005418	ENSGALG00000031635	ENSMODG00000012622	ENSMUSG00000041236
ENSG00000006831	ENSPTRG00000004520	ENSPPAG00000033978	ENSMMUG00000017262	ENSOANG00000008857	ENSGALG00000035533	ENSMODG00000018416	ENSMUSG00000030168
ENSG00000007062	ENSPTRG00000015932	ENSPPAG00000032761	ENSMMUG00000008164	ENSOANG00000013966	ENSGALG00000014496	ENSMODG00000000987	ENSMUSG00000029086
ENSG00000007168	ENSPTRG00000008551	ENSPPAG00000028431	ENSMMUG00000020524	ENSOANG00000015076	ENSGALG00000005834	ENSMODG00000010776	ENSMUSG00000020745
ENSG00000007171	ENSPTRG00000008903	ENSPPAG00000032986	ENSMMUG00000010083	ENSOANG00000005664	ENSGALG00000038096	ENSMODG00000019228	ENSMUSG00000020826
ENSG00000007202	ENSPTRG00000008926	ENSPPAG00000036855	ENSMMUG00000023412	ENSOANG00000014176	ENSGALG00000003766	ENSMODG00000019282	ENSMUSG00000010277
ENSG00000007372	ENSPTRG00000003474	ENSPPAG00000043756	ENSMMUG00000016810	ENSOANG00000015149	ENSGALG00000012123	ENSMODG00000009611	ENSMUSG00000027168
ENSG00000007392	ENSPTRG00000007533	ENSPPAG00000041773	ENSMMUG00000000596	ENSOANG00000008741	ENSGALG00000037983	ENSMODG00000016644	ENSMUSG00000024188
ENSG00000007541	ENSPTRG00000007545	ENSPPAG00000040818	ENSMMUG00000029296	ENSOANG00000013502	ENSGALG00000001985	ENSMODG00000016688	ENSMUSG00000025728
ENSG00000007866	ENSPTRG00000018086	ENSPPAG00000015570	ENSMMUG00000015909	ENSOANG00000014121	ENSGALG00000043513	ENSMODG00000013762	ENSMUSG00000002249
ENSG00000007923	ENSPTRG00000000094	ENSPPAG00000021225	ENSMMUG00000004686	ENSOANG00000000839	ENSGALG00000000627	ENSMODG00000005908	ENSMUSG00000039768
ENSG00000007933	ENSPTRG00000001670	ENSPPAG00000033963	ENSMMUG00000007952	ENSOANG00000000895	ENSGALG00000040573	ENSMODG00000003637	ENSMUSG00000026691
ENSG00000007944	ENSPTRG00000023743	ENSPPAG00000011628	ENSMMUG00000015474	ENSOANG00000003448	ENSGALG00000012704	ENSMODG00000010806	ENSMUSG00000038175
